sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
femenino;comercio;fabrica de;robledo;2;4.0;3/10/2018;7800000;microempresarial
